Player;Team;Position;Salary
Juan Uribe;Los Angeles Dodgers;Second Baseman;5295910
Julio Borbon;Texas Rangers;Outfielder;490000
Junichi Tazawa;Boston Red Sox;Pitcher;1500000
Justin Duchscherer;Baltimore Orioles;Pitcher;700000
Justin Germano;Cleveland Indians;Pitcher;415600
Justin Masterson;Cleveland Indians;Pitcher;468400
Justin Morneau;Minnesota Twins;First Baseman;15000000
Justin Smoak;Seattle Mariners;First Baseman;419000
Justin Upton;Arizona Diamondbacks;Outfielder;4458333
Justin Verlander;Detroit Tigers;Pitcher;12850000
Kam Mickolio;Arizona Diamondbacks;Pitcher;417000
Kameron Loe;Milwaukee Brewers;Pitcher;1250000
Kanekoa Texeira;Kansas City Royals;Pitcher;426000
Kelly Johnson;Arizona Diamondbacks;Second Baseman;5850000
Kelly Shoppach;Tampa Bay Rays;Catcher;3000000
Kendrys Morales;Los Angeles Angels;First Baseman;2975000
Kenley Jansen;Los Angeles Dodgers;Pitcher;416000
Kerry Wood;Chicago Cubs;Pitcher;1500000
Kevin Correia;Pittsburgh Pirates;Pitcher;4000000
Kevin Gregg;Baltimore Orioles;Pitcher;4200000
Kevin Hart;Pittsburgh Pirates;Pitcher;417000
Kevin Jepsen;Los Angeles Angels;Pitcher;435000
Kevin Kouzmanoff;Oakland Athletics;Third Baseman;4750000
Kevin Slowey;Minnesota Twins;Pitcher;2700000
Kevin Youkilis;Boston Red Sox;Third Baseman;12250000
Kila Ka`aihue;Kansas City Royals;First Baseman;419000
Koji Uehara;Baltimore Orioles;Pitcher;3000000
Kosuke Fukudome;Chicago Cubs;Outfielder;14500000
Koyie Hill;Chicago Cubs;Catcher;850000
Kris Medlen;Atlanta Braves;Pitcher;429500
Kurt Suzuki;Oakland Athletics;Catcher;3437500
Kyle Blanks;San Diego Padres;Outfielder;424700
Kyle Davies;Kansas City Royals;Pitcher;3200000
Kyle Drabek;Toronto Blue Jays;Pitcher;416000
Kyle Farnsworth;Tampa Bay Rays;Pitcher;2600000
Kyle Kendrick;Philadelphia Phillies;Pitcher;2450000
Kyle Lohse;St. Louis Cardinals;Pitcher;12187500
Kyle McClellan;St. Louis Cardinals;Pitcher;1375000
Lance Berkman;St. Louis Cardinals;Outfielder;8000000
Lance Cormier;Los Angeles Dodgers;Pitcher;1200000
Landon Powell;Oakland Athletics;Catcher;420000
Lastings Milledge;Chicago White Sox;Outfielder;500000
LaTroy Hawkins;Milwaukee Brewers;Pitcher;4250000
Laynce Nix;Washington Nationals;Outfielder;700000
Leo Nunez;Miami Marlins;Pitcher;3650000
Livan Hernandez;Washington Nationals;Pitcher;1250000
Logan Morrison;Miami Marlins;Outfielder;414000
Logan Ondrusek;Cincinnati Reds;Pitcher;418000
Lou Marson;Cleveland Indians;Catcher;424300
Lucas Duda;New York Mets;Outfielder;414000
Luis Ayala;New York Yankees;Pitcher;650000
Luis O. Rodriguez;Seattle Mariners;Second Baseman;600000
Luke Gregerson;San Diego Padres;Pitcher;447800
Luke Hochevar;Kansas City Royals;Pitcher;1760000
Luke Scott;Baltimore Orioles;Outfielder;6400000
Lyle Overbay;Pittsburgh Pirates;First Baseman;5000000
Madison Bumgarner;San Francisco Giants;Pitcher;450000
Magglio Ordonez;Detroit Tigers;Outfielder;10000000
Maicer Izturis;Los Angeles Angels;Second Baseman;3266666
Manny Parra;Milwaukee Brewers;Pitcher;1200000
Manny Ramirez;Tampa Bay Rays;Designated Hitter;2020000
Marc Rzepczynski;Toronto Blue Jays;Pitcher;429600
Marco Scutaro;Boston Red Sox;Shortstop;5500000
Marcos Mateo;Chicago Cubs;Pitcher;417000
Marcus Thames;Los Angeles Dodgers;Outfielder;1000000
Mariano Rivera;New York Yankees;Pitcher;14911700
Mark Buehrle;Chicago White Sox;Pitcher;14000000
Mark De Rosa;San Francisco Giants;Third Baseman;6000000
Mark Ellis;Oakland Athletics;Second Baseman;6000000
Mark Kotsay;Milwaukee Brewers;Outfielder;800000
Mark Lowe;Texas Rangers;Pitcher;1200000
Mark Melancon;Houston Astros;Pitcher;421000
Mark Reynolds;Baltimore Orioles;Third Baseman;5333333
Mark Teahen;Chicago White Sox;Third Baseman;4750000
Mark Teixeira;New York Yankees;First Baseman;23125000
Mark Trumbo;Los Angeles Angels;First Baseman;414000
Marlon Byrd;Chicago Cubs;Outfielder;5500000
Martin Prado;Atlanta Braves;Second Baseman;3100000
Mason Tobin;Texas Rangers;Pitcher;414000
Mat Latos;San Diego Padres;Pitcher;460700
Matt Albers;Boston Red Sox;Pitcher;875000
Matt Belisle;Colorado Rockies;Pitcher;2350000
Matt Cain;San Francisco Giants;Pitcher;7333333
Matt Capps;Minnesota Twins;Pitcher;7150000
Matt Diaz;Pittsburgh Pirates;Outfielder;2125000
Matt Downs;Houston Astros;Second Baseman;421000
Matt E. Young;Atlanta Braves;Second Baseman;414000
Matt Garza;Chicago Cubs;Pitcher;5950000
Matt Guerrier;Los Angeles Dodgers;Pitcher;2461499
Matt Harrison;Texas Rangers;Pitcher;428830
Matt Holliday;St. Louis Cardinals;Outfielder;16317774
Matt Joyce;Tampa Bay Rays;Outfielder;426500
Matt Kemp;Los Angeles Dodgers;Outfielder;7100000
Matt LaPorta;Cleveland Indians;First Baseman;431400
Matt Lindstrom;Colorado Rockies;Pitcher;2800000
Matt Maloney;Cincinnati Reds;Pitcher;415000
Matt Mangini;Seattle Mariners;Third Baseman;414500
Matt Reynolds;Colorado Rockies;Pitcher;415000
Matt Stairs;Washington Nationals;Outfielder;850000
Matt Thornton;Chicago White Sox;Pitcher;3000000
Matt Tolbert;Minnesota Twins;Second Baseman;425000
Matt Treanor;Kansas City Royals;Catcher;850000
Matt Wieters;Baltimore Orioles;Catcher;452250
Mauricio Robles;Seattle Mariners;Pitcher;414000
Max Scherzer;Detroit Tigers;Pitcher;600000
Melky Cabrera;Kansas City Royals;Outfielder;1250000
Melvin Mora;Arizona Diamondbacks;Third Baseman;2350000
Michael Bourn;Houston Astros;Outfielder;4400000
Michael Brantley;Cleveland Indians;Outfielder;421800
Michael Cuddyer;Minnesota Twins;Outfielder;10500000
Michael Dunn;Miami Marlins;Pitcher;414000
Michael Kohn;Los Angeles Angels;Pitcher;414000
Michael Martinez;Philadelphia Phillies;Second Baseman;414000
Michael Pineda;Seattle Mariners;Pitcher;414000
Michael Saunders;Seattle Mariners;Outfielder;420000
Michael Wuertz;Oakland Athletics;Pitcher;2800000
Michael Young;Texas Rangers;Infielder;16174974
Miguel Batista;St. Louis Cardinals;Pitcher;750000
Miguel Cabrera;Detroit Tigers;First Baseman;20000000
Miguel Cairo;Cincinnati Reds;Second Baseman;1000000
Miguel Montero;Arizona Diamondbacks;Catcher;3200000
Miguel Olivo;Seattle Mariners;Catcher;2500000
Miguel Tejada;San Francisco Giants;Third Baseman;6500000
Mike Adams;San Diego Padres;Pitcher;2535000
Mike Aviles;Kansas City Royals;Third Baseman;640000
Mike Baxter;San Diego Padres;Outfielder;414000
Mike Cameron;Boston Red Sox;Outfielder;7750000
Mike Crotta;Pittsburgh Pirates;Pitcher;414000
Mike Fontenot;San Francisco Giants;Second Baseman;1050000
Mike Gonzalez;Baltimore Orioles;Pitcher;6000000
Mike Leake;Cincinnati Reds;Pitcher;425000
Mike MacDougal;Los Angeles Dodgers;Pitcher;500000
Mike McCoy;Toronto Blue Jays;Second Baseman;422300
Mike Morse;Washington Nationals;Outfielder;1050000
Mike Napoli;Texas Rangers;Catcher;5800000
Mike Nickeas;New York Mets;Catcher;414000
Mike Pelfrey;New York Mets;Pitcher;3925000
Mike Stanton;Miami Marlins;Outfielder;416000
Milton Bradley;Seattle Mariners;Outfielder;13000000
Mitch Maier;Kansas City Royals;Outfielder;459000
Mitch Moreland;Texas Rangers;First Baseman;426000
Mitch Stetter;Milwaukee Brewers;Pitcher;427000
Mitch Talbot;Cleveland Indians;Pitcher;431700
Mitchell Boggs;St. Louis Cardinals;Pitcher;431000
Nate Adcock;Kansas City Royals;Pitcher;414000
Nate McLouth;Atlanta Braves;Outfielder;7000000
Nate Schierholtz;San Francisco Giants;Outfielder;432500
Neftali Feliz;Texas Rangers;Pitcher;457160
Neil Walker;Pittsburgh Pirates;Second Baseman;437000
Nelson Cruz;Texas Rangers;Outfielder;3650000
Nelson Figueroa;Houston Astros;Pitcher;900000
Nick Blackburn;Minnesota Twins;Pitcher;3000000
Nick Hundley;San Diego Padres;Catcher;439900
Nick Markakis;Baltimore Orioles;Outfielder;10600000
Nick Masset;Cincinnati Reds;Pitcher;1725000
Nick Punto;St. Louis Cardinals;Third Baseman;750000
Nick Swisher;New York Yankees;Outfielder;9100000
Nyjer Morgan;Milwaukee Brewers;Outfielder;471500
Octavio Dotel;Toronto Blue Jays;Pitcher;3000000
Omar Beltre;Texas Rangers;Pitcher;415000
Omar Infante;Miami Marlins;Second Baseman;2500000
Omar Vizquel;Chicago White Sox;Third Baseman;1750000
Orlando Cabrera;Cleveland Indians;Second Baseman;1000000
Orlando Hudson;San Diego Padres;Second Baseman;4000000
Pablo Sandoval;San Francisco Giants;Third Baseman;500000
Pat Burrell;San Francisco Giants;Outfielder;1000000
Pat Neshek;San Diego Padres;Pitcher;625000
Paul Janish;Cincinnati Reds;Shortstop;437500
Paul Konerko;Chicago White Sox;First Baseman;12000000
Paul Maholm;Pittsburgh Pirates;Pitcher;6250000
Pedro Alvarez;Pittsburgh Pirates;Third Baseman;2050000
Pedro Beato;New York Mets;Pitcher;414000
Pedro Feliciano;New York Yankees;Pitcher;3750000
Pedro Strop;Texas Rangers;Outfielder;416000
Pete Orr;Philadelphia Phillies;Second Baseman;600000
Peter Bourjos;Los Angeles Angels;Outfielder;414000
Peter Moylan;Atlanta Braves;Pitcher;2000000
Phil Coke;Detroit Tigers;Pitcher;440000
Phil Hughes;New York Yankees;Pitcher;2700000
Philip Humber;Chicago White Sox;Pitcher;500000
Placido Polanco;Philadelphia Phillies;Third Baseman;5416666
Prince Fielder;Milwaukee Brewers;First Baseman;15500000
R.A. Dickey;New York Mets;Pitcher;2750000
Rafael Betancourt;Colorado Rockies;Pitcher;3775000
Rafael Furcal;Los Angeles Dodgers;Shortstop;13000000
Rafael Perez;Cleveland Indians;Pitcher;1330000
Rafael Soriano;New York Yankees;Pitcher;10000000
Rajai Davis;Toronto Blue Jays;Outfielder;2500000
Ramon Castro;Chicago White Sox;Catcher;1200000
Ramon Hernandez;Cincinnati Reds;Catcher;2947318
Ramon Pena;Chicago White Sox;Pitcher;1600000
Ramon S. Ramirez;San Francisco Giants;Pitcher;1650000
Ramon Santiago;Detroit Tigers;Shortstop;1350000
Randy Choate;Miami Marlins;Pitcher;1000000
Randy Wells;Chicago Cubs;Pitcher;475000
Randy Wolf;Milwaukee Brewers;Pitcher;9500000
Raul Ibanez;Philadelphia Phillies;Outfielder;12166666
Reed Johnson;Chicago Cubs;Outfielder;900000
Reegie Corona;New York Yankees;Second Baseman;414000
Reggie Willits;Los Angeles Angels;Outfielder;775000
Reid Brignac;Tampa Bay Rays;Shortstop;425400
Rich Harden;Oakland Athletics;Pitcher;1500000
Rich Thompson;Los Angeles Angels;Pitcher;418000
Rick Ankiel;Washington Nationals;Outfielder;1500000
Rick Porcello;Detroit Tigers;Pitcher;1536000
Rickie Weeks;Milwaukee Brewers;Second Baseman;4500000
Ricky Nolasco;Miami Marlins;Pitcher;6000000
Ricky Romero;Toronto Blue Jays;Pitcher;1000000
Rob J. Johnson;San Diego Padres;Catcher;421700
Robert Andino;Baltimore Orioles;Infielder;421500
Robert Parnell;New York Mets;Pitcher;433500
Robinson Cano;New York Yankees;Second Baseman;10000000
Robinson Tejeda;Kansas City Royals;Pitcher;1550000
Rod Barajas;Los Angeles Dodgers;Catcher;3250000
Ronny Cedeno;Pittsburgh Pirates;Shortstop;1850000
Ross Gload;Philadelphia Phillies;First Baseman;1600000
Ross Ohlendorf;Pittsburgh Pirates;Pitcher;2025000
Roy Halladay;Philadelphia Phillies;Pitcher;20000000
Roy Oswalt;Philadelphia Phillies;Pitcher;16000000
Russell Branyan;Arizona Diamondbacks;First Baseman;1000000
Russell Martin;New York Yankees;Catcher;4000000
Ryan Braun;Milwaukee Brewers;Outfielder;4287500
Ryan Dempster;Chicago Cubs;Pitcher;13500000
Ryan Doumit;Pittsburgh Pirates;Catcher;5200000
Ryan Franklin;St. Louis Cardinals;Pitcher;3250000
Ryan Hanigan;Cincinnati Reds;Catcher;550000
Ryan Howard;Philadelphia Phillies;First Baseman;20000000
Ryan Langerhans;Seattle Mariners;Outfielder;525000
Ryan Ludwick;San Diego Padres;Outfielder;6775000
Ryan Madson;Philadelphia Phillies;Pitcher;4833333
Ryan Perry;Detroit Tigers;Pitcher;430000
Ryan Raburn;Detroit Tigers;Outfielder;1300000
Ryan Roberts;Arizona Diamondbacks;Second Baseman;423500
Ryan Rowland-Smith;Houston Astros;Pitcher;725000
Ryan Spilborghs;Colorado Rockies;Outfielder;1950000
Ryan Sweeney;Oakland Athletics;Outfielder;1400000
Ryan Theriot;St. Louis Cardinals;Shortstop;3300000
Ryan Webb;Miami Marlins;Pitcher;414000
Ryan Zimmerman;Washington Nationals;Third Baseman;9025000
Sam Fuld;Tampa Bay Rays;Outfielder;418300
Sam Lecure;Cincinnati Reds;Pitcher;414000
Samuel Deduno;San Diego Padres;Pitcher;414240
Samuel Demel;Arizona Diamondbacks;Pitcher;417000
Santiago Casilla;San Francisco Giants;Pitcher;1300000
Scott Baker;Minnesota Twins;Pitcher;5000000
Scott Cousins;Miami Marlins;Outfielder;414000
Scott Downs;Los Angeles Angels;Pitcher;5000000
Scott Feldman;Texas Rangers;Pitcher;4400000
Scott Hairston;New York Mets;Outfielder;1100000
Scott Kazmir;Los Angeles Angels;Pitcher;12000000
Scott Linebrink;Atlanta Braves;Pitcher;5500000
Scott Olsen;Pittsburgh Pirates;Pitcher;450000
Scott Rolen;Cincinnati Reds;Third Baseman;8166666
Sean Burnett;Washington Nationals;Pitcher;1350000
Sean Green;Milwaukee Brewers;Pitcher;875000
Sean J. Rodriguez;Tampa Bay Rays;Infielder;428600
Sean Marshall;Chicago Cubs;Pitcher;1600000
Sean O`Sullivan;Kansas City Royals;Pitcher;420500
Sergio Mitre;Milwaukee Brewers;Pitcher;900000
Sergio Romo;San Francisco Giants;Pitcher;450000
Sergio Santos;Chicago White Sox;Pitcher;435000
Seth Smith;Colorado Rockies;Outfielder;429000
Shane Victorino;Philadelphia Phillies;Outfielder;7500000
Shaun Marcum;Milwaukee Brewers;Pitcher;3950000
Shawn Camp;Toronto Blue Jays;Pitcher;2250000
Shawn Kelley;Seattle Mariners;Pitcher;420000
Shelley Duncan;Cleveland Indians;Outfielder;500000
Shin-Soo Choo;Cleveland Indians;Outfielder;3975000
Skip Schumaker;St. Louis Cardinals;Second Baseman;2750000
Starlin Castro;Chicago Cubs;Shortstop;440000
Stephen Drew;Arizona Diamondbacks;Shortstop;4650000
Stephen Strasburg;Washington Nationals;Pitcher;4375000
Steve Pearce;Pittsburgh Pirates;First Baseman;427500
Takashi Saito;Milwaukee Brewers;Pitcher;1750000
Taylor Buchholz;New York Mets;Pitcher;600000
Ted Lilly;Los Angeles Dodgers;Pitcher;8166666
Tim Byrdak;New York Mets;Pitcher;900000
Tim Collins;Kansas City Royals;Pitcher;414000
Tim Hudson;Atlanta Braves;Pitcher;9000000
Tim Lincecum;San Francisco Giants;Pitcher;14000000
Tim Stauffer;San Diego Padres;Pitcher;1075000
Tim Wakefield;Boston Red Sox;Pitcher;2000000
Todd Coffey;Washington Nationals;Pitcher;1350000
Todd Helton;Colorado Rockies;First Baseman;20275000
Tom Gorzelanny;Washington Nationals;Pitcher;2100000
Tom Wilhelmsen;Seattle Mariners;Pitcher;414000
Tommy Hanson;Atlanta Braves;Pitcher;456500
Tommy Hunter;Texas Rangers;Pitcher;442160
Tony Gwynn Jr.;Los Angeles Dodgers;Outfielder;675000
Tony Sipp;Cleveland Indians;Pitcher;436800
Torii Hunter;Los Angeles Angels;Outfielder;18500000
Travis Buck;Cleveland Indians;Outfielder;625000
Travis Hafner;Cleveland Indians;Designated Hitter;13000000
Travis Snider;Toronto Blue Jays;Outfielder;435800
Travis Wood;Cincinnati Reds;Pitcher;422500
Trever Miller;St. Louis Cardinals;Pitcher;2000000
Trevor Cahill;Oakland Athletics;Pitcher;440000
Trevor Crowe;Cleveland Indians;Outfielder;435700
Troy Tulowitzki;Colorado Rockies;Shortstop;5500000
Tsuyoshi Nishioka;Minnesota Twins;Second Baseman;3000000
Ty Wigginton;Colorado Rockies;Third Baseman;3500000
Tyler Clippard;Washington Nationals;Pitcher;443000
Tyler Colvin;Chicago Cubs;Outfielder;440000
Tyler Greene;St. Louis Cardinals;Shortstop;415500
Ubaldo Jimenez;Colorado Rockies;Pitcher;2800000
Vernon Wells;Los Angeles Angels;Outfielder;26187500
Vicente Padilla;Los Angeles Dodgers;Pitcher;2000000
Victor Martinez;Detroit Tigers;Catcher;12000000
Vinnie Pestano;Cleveland Indians;Pitcher;414000
Vladimir Guerrero;Baltimore Orioles;Designated Hitter;7611455
Wade Davis;Tampa Bay Rays;Pitcher;434100
Wandy Rodriguez;Houston Astros;Pitcher;7500000
Wes Helms;Miami Marlins;Third Baseman;1000000
Wil Nieves;Milwaukee Brewers;Catcher;775000
Will Ohman;Chicago White Sox;Pitcher;1500000
Will Rhymes;Detroit Tigers;Second Baseman;419000
Will Venable;San Diego Padres;Outfielder;444400
Willie Bloomquist;Arizona Diamondbacks;Outfielder;900000
Willie Harris;New York Mets;Outfielder;800000
Wilson Betemit;Kansas City Royals;Third Baseman;1000000
Wilson Ramos;Washington Nationals;Catcher;415000
Wilson Valdez;Philadelphia Phillies;Shortstop;560000
Wilton Lopez;Houston Astros;Pitcher;442000
Xavier Nady;Arizona Diamondbacks;Outfielder;1750000
Xavier Paul;Los Angeles Dodgers;Outfielder;419500
Yadier Molina;St. Louis Cardinals;Catcher;5312500
Yorvit Torrealba;Texas Rangers;Catcher;3000000
Yovani Gallardo;Milwaukee Brewers;Pitcher;3500000
Yunel Escobar;Toronto Blue Jays;Shortstop;2900000
Yuniesky Betancourt-Perez;Milwaukee Brewers;Shortstop;4300000
Zach Braddock;Milwaukee Brewers;Pitcher;424000
Zach Duke;Arizona Diamondbacks;Pitcher;3500000
Zack Greinke;Milwaukee Brewers;Pitcher;13500000
